SMILES,tasks
COc1ccc2c(c1)N(CCN1CCC(NCc3cc4c(cn3)OCCO4)CC1)C(=O)CS2,Lipo
O=P([O-])([O-])C(O)(Cc1cccnc1)P(=O)([O-])[O-],ClinTox
Cn1cc(CN2CCc3cc4nc(N)sc4cc3CC2)cn1,Lipo
COc1cc(N2CCN(CCS(C)(=O)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,Lipo
COC(=O)CCC(=O)Nc1ccc2c(c1)-c1ccccc1C(=O)C2=O,Lipo
CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,BBBP:ClinTox
CCOc1ccccc1,ESOL:FreeSolv
COCCNC(=O)CN(CCN(CC[NH+](CC(=O)[O-])CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-],ClinTox
CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,BBBP
C=CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,BACE
NC1=NC(c2ccccc2)(C2CCCCC2)C(=O)N1Cc1ccccc1,BACE
CN1CC(n2nccc2-c2cc(Cl)ccc2Oc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)C1,Lipo
CCOc1cccc2c3c([nH]c12)CCN(C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(C#N)CC1)C3,Lipo
CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2ccccc2)c2nc3ccncc3c(=O)[nH]2)=N1,BACE
CC(C)(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccc4[nH]cc(CC(F)(F)F)c4c3)C2O)c1,BACE
Cc1cc2ccccc2c2ccc3ccccc3c12,ESOL
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,BBBP:ClinTox
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,BBBP:Lipo
Cc1nn(C)c2ccc(N3CCN(C(=O)[C@@H]4CCCC[C@H]4C(=O)NC4(C#N)CC4)[C@H](C)C3)cc12,Lipo
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,ClinTox
OCC(F)(F)F,FreeSolv
CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,ESOL
CCCN(C)c1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,Lipo
COc1cc(C(=O)Nc2cc(NC(=O)c3cccc(N(C)C)c3)ccc2C)cc(OC)c1OC,Lipo
CCCCC(NC(=O)CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)c1ccc(=O)[nH]c1,Lipo
COC(=O)c1cccnc1,ESOL
O=C(O)c1ccc(-n2ncc(C(=O)NC3C4CC5CC(C4)CC3C5)c2C2CCCC2)cc1,Lipo
CCCC(C)(C)CO,ESOL
CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,BBBP
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-],ClinTox
CCCBr,ESOL:FreeSolv
CN1CCC(C#N)(c2cccc3ccccc23)CC1,Lipo
Cc1nc2ccc(NC(=O)CCNC(N)=O)cc2s1,Lipo
O=C(N[C@@H](Cc1ccc(N2CCN(c3ccccc3)CC2)cc1)C(=O)O)c1c(Cl)cccc1Cl,Lipo
CC(=N)NCc1ccccc1,Lipo
Cc1ccccc1Cn1ccn2c(=O)cc(N3CCOCC3)nc12,Lipo
COc1cc2ncc(C(N)=O)c(Nc3cc(C)ccc3F)c2cc1OC,Lipo
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COc5ccon5)OC4=O)cc3F)cn2)n1,Lipo
Cc1cc(C)cc(CCOCCS(=O)(=O)NCCNCCc2ccc(O)c3nc(O)sc23)c1,Lipo
CCC(=O)c1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cs1,BACE
O=C(CO)N1CCC[C@@H]1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,Lipo
CSc1nc2cc(Cl)ccc2[nH]1,Lipo
Cc1cc(CN2Cc3ccccc3C2C(=O)Nc2cc(Cl)ccc2Cl)ccc1OCC(=O)O,Lipo
CN1C(=O)C(c2ccncc2)(c2cccc(-c3cccc(C(F)(F)F)c3)c2)N=C1N,BACE
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],ESOL:FreeSolv
CCC(C)CC,BBBP:ESOL:FreeSolv
Oc1nc(-c2ccccc2)nc2ccccc12,Lipo
CNS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)c[nH]c(=O)c2c1,Lipo
C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,BBBP
Cc1nc2ccc(Cl)cn2c1-c1ccnc(N)n1,Lipo
O=S(=O)(Nc1nnc(-c2ccccc2)s1)c1ccc(Cl)cc1,Lipo
CSC,ESOL:FreeSolv
COCCC(=O)N[C@@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,Lipo
Cc1cc(C)cc(-c2c(O)nc3cc(Cl)c(C(=O)Nc4ccncn4)cc3c2OCCC2CCCCN2)c1,Lipo
Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,Lipo
CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,Lipo
c1ccc(CSc2nc3cccnc3[nH]2)cc1,Lipo
N#Cc1ccccc1,ESOL:FreeSolv
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,Lipo
CCSC,FreeSolv
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H]([NH3+])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],ClinTox
O=C1NC(=O)C2C=CC=CC12,ESOL
CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,Lipo
CN1C(=O)C(c2ccncc2)(c2cccc(-c3cccc(C#N)c3)c2)N=C1N,BACE
Cc1cc(=O)[nH]c2sc(C(=O)c3ccc(Br)cc3)c(N)c12,Lipo
Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CCC(=O)O)CC3)cc2)nc1C(N)=O,Lipo
Clc1ccc2c(c1)/C(=C/C1CN3CCC1CC3)c1ccccc1S2,BBBP
O=C(O)CCCCn1nnc(-c2ccc(C(=O)N3CCC(N4CCC(Oc5ccc(Cl)c(Cl)c5)CC4)CC3)cc2)n1,Lipo
CN(C)CCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,Lipo
Clc1ccc(-c2c(Cl)cccc2Cl)cc1,ESOL
Nc1nc2nc(-c3cccs3)cc(C(F)(F)F)n2n1,Lipo
C[C@H](Cc1cccc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c1)NC[C@H](O)c1ccc(O)c(CO)c1,Lipo
COC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)c1cccc2ccccc12,Lipo
NC1=[NH+]C(=O)C(c2ccccc2)O1,ClinTox
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)[O-])c2csc(N)n2)C(=O)N1S(=O)(=O)[O-],ClinTox
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,BBBP
Nc1nnc(CCSCCc2nnc(N)s2)s1,Lipo
COC(C)(C)C,ESOL:FreeSolv
CC1CN(C(=O)c2nnc3c(-c4ncccn4)cccc3c2N)C1,Lipo
CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2cccc3[nH]ccc23)n1,Lipo
CC(C)(C)[NH2+]CC(O)COc1cccc2c1CCC(=O)N2,ClinTox
C[NH+](C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C([O-])=C3C(=O)c4c([O-])cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,ClinTox
CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,ClinTox
O=C(c1cc2ccccc2[nH]1)N1CCNCC1,Lipo
CNC1Cc2ccccc2N(C)c2ccccc21,BBBP
CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(F)(F)F)c2)ccn1,BACE
CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccccc1,Lipo
C[C@H](Nc1nc(Nc2ncc(C#N)s2)cc(N2CCOCC2)n1)c1ncc(F)cn1,Lipo
C#CCN[C@@H]1CCc2ccccc21,BBBP
COc1ccc(C(Cc2cc([N+](=O)[O-])ccc2OC)c2c[nH]c(N)n2)cc1,BACE
N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O,ClinTox
CCOC(=O)c1c(C)n(Cc2ccco2)c2ccc(O)cc12,Lipo
COc1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CC2,Lipo
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[N@@H+](Cc3ccccc3)CC[NH2+]2)c1,BACE
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C3(C)CCCO3)c2)CC1,BACE
Cc1ccc(Oc2ccc(C(=O)NCc3ccncc3)cc2)cc1,Lipo
COCC(Oc1cc(CC2CS(=O)CC([NH2+]Cc3cccc(C(C)(C)CO)c3)C2O)cc(F)c1N)C(F)(F)F,BACE
N#Cc1ccc2ccc(=O)n(CCN3CC[C@@H](NCc4cc5c(cn4)OCCO5)[C@@H](O)C3)c2c1,Lipo
NC1=[NH+]C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCCN21,BACE
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ClinTox
CN1CCC[C@H]1c1cccnc1,BBBP
Clc1ccc(-c2c[nH]nn2)cc1,Lipo
CSc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,Lipo
CN1CCC(n2cc(-c3cnc(N)c(-c4nc5ccc(F)cc5o4)c3)cn2)CC1,Lipo
Cc1ccccc1C(=O)N1CCN(c2ccccn2)CC1,Lipo
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,Lipo
CNCC[C@@H](O)[C@@H]1C[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3[C@H]2C)CN1,BBBP
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,BBBP
CC(C)CC(OC(=O)c1ccco1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,BBBP
CNCC[C@@H](Oc1cc(OC)ccc1C#N)c1ccccc1,Lipo
CNC(C)C(O)c1ccc(O)cc1,BBBP
O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1cccc(F)c1,Lipo
CN1C(=O)C2(CC(C)(C)Cc3ccc(-c4cc(F)cc(Cl)c4)cc32)N=C1N,BACE
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],ESOL
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)[NH+](CC2CCC2)CC[C@]314,ClinTox
C[NH+]1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,ClinTox
Clc1ccc(-c2nnc3cccc(Cl)n23)c(Cl)c1,Lipo
O=C1C=CC=C/C1=C1/NN=CO1,BBBP
NN,FreeSolv
CNCCSC1=Cc2cc(F)ccc2Oc2ccccc21,BBBP
CCCCCCCCCC(=O)OCCN1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,ClinTox
Brc1ccccc1,ESOL:FreeSolv
c1ccc(Oc2ccccc2)cc1,ESOL:FreeSolv
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCNCC1,Lipo
CC(C)NCC(O)COc1cccc2[nH]ccc12,BBBP:Lipo
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,ESOL
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cc(C(C)(C)C)ccn2)CC1,BACE
COc1ccc2nc(N[C@H]3CCC[C@H](NCc4ccsc4)C3)ccc2c1,Lipo
COc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3ccc(C)cc3)ccc1O2,BACE
Cc1oc(=O)oc1COC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,BBBP
O=C(NCCSCc1ccccc1)c1ccccc1,Lipo
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1Cl,Lipo
O=C(Nc1nc(-c2ccccc2)cs1)c1cccnc1,Lipo
COc1cc(OC2CCN(C)CC2)c2c(Nc3cccc4c3OCO4)ncnc2c1,Lipo
Cc1ccc(S(=O)(=O)N(C)C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,Lipo
OC[C@H](Nc1ncc(Cl)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cc1,Lipo
CC(C)[NH2+]CC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,ClinTox
CN(C)CCN(Cc1ccccc1)c1ccccn1,Lipo
CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,BBBP
CN1C(=O)C(c2ccncc2)(c2cccc(-c3cccnc3F)c2)N=C1N,BACE
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,ClinTox:Lipo
CC1(C)S[C@@H]2[C@H](NC(=O)C3([NH3+])CCCCC3)C(=O)N2[C@H]1C(=O)[O-],ClinTox
CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,BBBP:ClinTox
Cc1cc(-c2ccc(N/N=C3/C(=O)c4c(N)cc(S(=O)(=O)[O-])cc4C=C3S(=O)(=O)[O-])c(C)c2)ccc1N/N=C1/C(=O)c2c(N)cc(S(=O)(=O)[O-])cc2C=C1S(=O)(=O)[O-],ClinTox
