,SMILES,tasks,BRICS
11,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,BBBP:ClinTox,"{'[13*]C1CNC(=O)O1', '[4*]C[8*]', '[3*]O[3*]', '[16*]c1cc(C)cc(C)c1'}"
12,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)n1c(=O)[nH]c2ccccc21,Lipo,"{'[5*]N[5*]', '[5*]N1CCC([15*])CC1', '[16*]c1ccc(Cl)c(Cl)c1', '[3*]O[3*]', '[1*]C(=O)n1c(=O)[nH]c2ccccc21', '[4*]CC(O)C[4*]'}"
13,CS(=O)(=O)c1ccc2nc(N3CCN(C(=O)[C@@H]4CCCC[C@H]4C(=O)NC4(C#N)CC4)CC3)sc2c1,Lipo,"{'[5*]N[5*]', '[15*][C@@H]1CCCC[C@H]1[15*]', '[4*]C1(C#N)CC1', '[14*]c1nc2ccc(S(C)(=O)=O)cc2s1', '[1*]C([6*])=O', '[5*]N1CCN([5*])CC1'}"
14,Cc1cc2cc(n1)NCCCCOc1cccc(c1)CC(C(O)C[NH2+]Cc1cccc(C(C)C)c1)NC2=O,BACE,"{'[16*]c1cccc([16*])c1', '[5*][NH2+][5*]', '[4*]C[8*]', '[13*]C1Cc2cccc(c2)OCCCCNc2cc(cc(C)n2)C(=O)N1', '[4*]CC([8*])O', '[8*]C(C)C'}"
15,CCC(C)C1(NC(C)=O)CCN(C(C)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(O)C[NH2+]2)C1=O,BACE,"{'[5*]N[5*]', '[4*]C1([15*])CCN([10*])C1=O', '[16*]c1cc(F)cc(F)c1', '[13*]C1CC(O)C[NH2+]1', '[4*]C(C[8*])C([8*])O', '[1*]C(=O)C([8*])C', '[1*]C(C)=O', '[8*]C(C)CC'}"
16,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ClinTox,"{'[5*]N[5*]', '[4*]C[8*]', '[5*]N1CCN(C)CC1', '[16*]c1ccc([16*])cc1', '[16*]c1cccnc1', '[16*]c1ccc(C)c([16*])c1', '[1*]C([6*])=O', '[14*]c1ccnc([14*])n1'}"
17,Oc1cccc2ncccc12,ESOL,{'Oc1cccc2ncccc12'}
18,COc1ccc(C=O)cc1,ESOL,"{'[3*]OC', '[16*]c1ccc(C=O)cc1'}"
19,O=C(NC1Cc2ccccc2N(CC(=O)N2CCC(O)CC2)C1=O)c1cc2cc(Cl)sc2[nH]1,Lipo,"{'[5*]N[5*]', '[14*]c1cc2cc(Cl)sc2[nH]1', '[1*]C(=O)CN1C(=O)C([15*])Cc2ccccc21', '[1*]C([6*])=O', '[5*]N1CCC(O)CC1'}"
20,Clc1ccc(N2CCN(C/C=C/c3ccccc3)CC2)nn1,BBBP,"{'[7*]C[8*]', '[4*]CC[7*]', '[16*]c1ccccc1', '[14*]c1ccc(Cl)nn1', '[5*]N1CCN([5*])CC1'}"
21,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(O[C@H]2CCCNC2)ccc1Cl,Lipo,"{'[5*]N[5*]', '[16*]c1ccc(Cl)c([16*])c1', '[4*]C[8*]', '[1*]C([6*])=O', '[15*]C12CC3CC(CC(C3)C1)C2', '[3*]O[3*]', '[15*][C@H]1CCCNC1'}"
22,OCCN1CCN(CC/C=C2/c3ccccc3COc3ccc(Cl)cc32)CC1,BBBP,"{'[4*]CCC[7*]', '[7*]C1c2ccccc2COc2ccc(Cl)cc21', '[4*]CCO', '[5*]N1CCN([5*])CC1'}"
23,c1ccncc1,ESOL:FreeSolv,{'c1ccncc1'}
24,Oc1cc(Cl)c(Cl)cc1Cl,ESOL,{'Oc1cc(Cl)c(Cl)cc1Cl'}
25,O=C(c1ccccc1)C(O)c1ccccc1,ESOL:Lipo,"{'[6*]C(=O)C([8*])O', '[16*]c1ccccc1'}"
26,O=[Si](O)O,ClinTox,{'O=[Si](O)O'}
27,CNC(=O)c1cc(-c2nc(N3CCOCC3)cc(C3(S(C)(=O)=O)CC3)n2)c2cc[nH]c2c1,Lipo,"{'[14*]c1cc([14*])nc([14*])n1', '[5*]NC', '[16*]c1cc([16*])c2cc[nH]c2c1', '[15*]C1(S(C)(=O)=O)CC1', '[5*]N1CCOCC1', '[1*]C([6*])=O'}"
28,COc1c(N2CCO[C@@H](CN(C)C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Lipo,"{'[4*]C[8*]', '[3*]OC', '[5*]N1CCO[C@@H]([13*])C1', '[5*]N(C)C', '[15*]C1CC1', '[9*]n1cc([16*])c(=O)c2cc(F)c([16*])c([16*])c21', '[6*]C(=O)O'}"
29,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,ClinTox:Lipo,"{'[5*]N[5*]', '[8*]C(F)(F)F', '[1*]C(=O)C(C)C', '[16*]c1ccc([N+](=O)[O-])c([16*])c1'}"
30,C[C@@H]1CN(CC2(C(N)=O)CC2)CCN1S(=O)(=O)c1ccc(C(C)(O)C(F)(F)F)cc1,Lipo,"{'[6*]C(N)=O', '[5*]N1CCN([5*])[C@H](C)C1', '[4*]C[8*]', '[12*]S(=O)(=O)c1ccc([16*])cc1', '[8*]C(C)(O)C(F)(F)F', '[15*]C1([15*])CC1'}"
31,Cc1nc2nc(NC(=O)c3ccc(F)cc3)nn2c(O)c1Cc1ccccc1,Lipo,"{'[5*]N[5*]', '[16*]c1ccc(F)cc1', '[8*]C[8*]', '[14*]c1nc2nc(C)c([16*])c(O)n2n1', '[1*]C([6*])=O', '[16*]c1ccccc1'}"
32,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,ClinTox,"{'[5*]N[5*]', '[4*]C[8*]', '[4*]CCS(C)(=O)=O', '[3*]O[3*]', '[16*]c1cccc(F)c1', '[14*]c1ccc([14*])o1', '[14*]c1ncnc2ccc([16*])cc12', '[16*]c1ccc([16*])c(Cl)c1'}"
33,CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c2c1cc(C(N)=O)cc2C(F)(F)F,Lipo,"{'[6*]C(N)=O', '[5*]N([5*])[5*]', '[4*]CC', '[8*]C(F)(F)F', '[4*]CCN1C(=O)[C@@](O)(c2ccccc2Cl)c2c([16*])cc([16*])cc21'}"
34,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(C#N)CC1,BACE,"{'[5*]N[5*]', '[16*]c1cccc([16*])c1', '[5*][NH2+][5*]', '[4*]C1([15*])CCC(C#N)CC1', '[16*]c1cc(F)cc(F)c1', '[1*]C(C)=O', '[4*]CC(O)C([4*])C[8*]', '[8*]C(C)(C)C'}"
35,COc1ccc(N(C(=O)c2ccccc2)C(C(=O)NC[C@@H](C)O)c2ccccc2F)c(OC)c1,Lipo,"{'[5*]N[5*]', '[3*]OC', '[4*]C[C@@H](C)O', '[16*]c1ccc([16*])c([16*])c1', '[1*]C(=O)C([4*])[8*]', '[16*]c1ccccc1F', '[1*]C([6*])=O', '[5*]N([5*])[5*]', '[16*]c1ccccc1'}"
36,Cn1c(N)nc(C2CC2c2ccc(-c3cccc(CCO)c3)cc2)cc1=O,BACE,"{'[14*]c1cc(=O)n(C)c(N)n1', '[16*]c1cccc([16*])c1', '[16*]c1ccc([16*])cc1', '[15*]C1CC1[15*]', '[8*]CCO'}"
37,CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)CCNCC1,Lipo,"{'[15*]C1(S(C)(=O)=O)CCNCC1', '[5*]N1CCOCC1', '[16*]c1cccc2[nH]ccc12', '[14*]c1cc([14*])nc([14*])n1'}"
38,Cc1cc(C(=O)Cn2cc(C(F)(F)F)ccc2=O)c(C)n1Cc1ccccc1,Lipo,"{'[9*]n1c(C)cc([16*])c1C', '[8*]C[8*]', '[8*]C(F)(F)F', '[9*]n1cc([16*])ccc1=O', '[6*]C(=O)C[8*]', '[16*]c1ccccc1'}"
39,COc1ccccc1C(=O)Nc1nc2ccccc2[nH]1,Lipo,"{'[5*]N[5*]', '[16*]c1ccccc1[16*]', '[3*]OC', '[1*]C([6*])=O', '[14*]c1nc2ccccc2[nH]1'}"
40,CCCC[NH+](CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,ClinTox,"{'[7*]C[8*]', '[7*]C1c2cc(Cl)ccc2-c2c([16*])cc(Cl)cc21', '[4*]CC([8*])O', '[16*]c1ccc(Cl)cc1', '[4*]CCCC', '[5*][NH+]([5*])[5*]'}"
41,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,ESOL,"{'[5*]N1CCCCC1C', '[3*]OP(=S)(O[3*])S[11*]', '[4*]CCC', '[1*]C(=O)C[4*]'}"
42,C#CC(C)OC(=O)Nc1cccc(Cl)c1,ESOL,"{'[5*]N[5*]', '[1*]C([1*])=O', '[16*]c1cccc(Cl)c1', '[3*]O[3*]', '[4*]C(C)C#C'}"
43,O=C1CCOc2nc(C#CC3CCCC3)ccc21,Lipo,{'O=C1CCOc2nc(C#CC3CCCC3)ccc21'}
44,CCCCCNC(=[NH2+])N/N=C/c1c[nH]c2ccc(OC)cc12,ClinTox,"{'[3*]OC', '[4*]CCCCC', '[5*]NC(=[NH2+])N/N=C/c1c[nH]c2ccc([16*])cc12'}"
45,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,Lipo,"{'[5*]N[5*]', '[14*]c1ccccn1', '[12*]S(=O)(=O)c1ccc([16*])cc1', '[1*]C(C)=O'}"
46,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,BBBP,"{'[5*]N(C)C', '[3*]OC', '[5*]N1c2ccccc2Sc2ccc([16*])cc21', '[4*]CCC[4*]'}"
47,Cc1sc(N2CCN(C)CC2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,Lipo,"{'[5*]N[5*]', '[16*]c1ccccc1[16*]', '[5*]N1CCN(C)CC1', '[16*]c1ccc([16*])cc1', '[3*]O[3*]', '[4*]CC[8*]', '[6*]C([6*])=O', '[14*]c1nc([14*])c(C)s1', '[4*][C@@H](C[8*])C(=O)O', '[16*]c1ccccc1'}"
48,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,ESOL,{'Clc1c(Cl)c(Cl)c2nccnc2c1Cl'}
49,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,ESOL,{'CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O'}
50,CCOC(=O)C=Cc1ccccc1,ESOL,"{'[7*]C[8*]', '[1*]C(=O)C[7*]', '[4*]CC', '[3*]O[3*]', '[16*]c1ccccc1'}"
51,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,ESOL,"{'[16*]c1ccc(Cl)c(Cl)c1Cl', '[16*]c1ccc(Cl)cc1Cl'}"
52,CCN(CC)c1ccccc1,ESOL,"{'[5*]N([5*])[5*]', '[4*]CC', '[16*]c1ccccc1'}"
53,Clc1ccc(C2CC=CCNC2)cc1Cl,Lipo,"{'[16*]c1ccc(Cl)c(Cl)c1', '[15*]C1CC=CCNC1'}"
54,CC(=O)NC(Cc1ccccc1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,BACE,"{'[5*]N[5*]', '[8*]CC(C)(C)C', '[1*]C(C)=O', '[4*]CC(O)C([4*])C[8*]', '[5*][NH2+]C1CC2(CCC2)Oc2ncc([16*])cc21', '[16*]c1ccccc1'}"
55,CC(C)C[C@H](CO)Nc1nc(SCc2ccncc2)nc2nc(N)sc12,Lipo,"{'[5*]N[5*]', '[4*]C[8*]', '[11*]S[11*]', '[14*]c1nc([14*])c2sc(N)nc2n1', '[16*]c1ccncc1', '[4*][C@@H](CO)CC(C)C'}"
56,Clc1cc(Cl)c(Cl)cc1Cl,ESOL:FreeSolv,{'Clc1cc(Cl)c(Cl)cc1Cl'}
57,CCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,Lipo,"{'[5*]N[5*]', '[4*]CC[4*]', '[3*]O[3*]', '[4*]CC[8*]', '[4*]CC', '[16*]c1ccc(O)c2[nH]c(=O)sc12', '[1*]C(=O)CC[4*]', '[5*]N([5*])[5*]', '[16*]c1ccccc1'}"
58,CCn1cnc(-c2ccccc2)c1-c1nc2c(N)ncnc2s1,Lipo,"{'[9*]n1cnc([14*])c1[14*]', '[8*]CC', '[14*]c1nc2c(N)ncnc2s1', '[16*]c1ccccc1'}"
59,c1ccc(NNc2ccccc2)cc1,ESOL,{'c1ccc(NNc2ccccc2)cc1'}
60,NC(=O)CCl,ESOL,{'NC(=O)CCl'}
61,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],ClinTox,"{'[15*][C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', '[4*]CC([6*])=O', '[3*]OP(=O)([O-])[O-]'}"
62,Cc1nc(-c2ccc(CN3CCC(N(C)C(=O)Cc4ccc(-n5cnnn5)cc4)CC3)cc2)no1,Lipo,"{'[5*]N1CCC([15*])CC1', '[4*]C[8*]', '[16*]c1ccc([16*])cc1', '[5*]N([5*])C', '[14*]c1noc(C)n1', '[1*]C(=O)C[8*]', '[9*]n1cnnn1'}"
63,CN(C(=O)Cc1ccc(O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,Lipo,"{'[5*]N1CCC([15*])CC1', '[4*]CCC([8*])[8*]', '[5*]N([5*])C', '[1*]C(=O)C[8*]', '[16*]c1ccc(O)cc1', '[16*]c1ccccc1'}"
64,O=C1NC(c2ccc(Br)cc2)Nc2ccccc21,Lipo,"{'[13*]C1NC(=O)c2ccccc2N1', '[16*]c1ccc(Br)cc1'}"
65,CCCCC(F)(F)[C@@]1(O)CC[C@@H]2[C@H](CCCCCCC(=O)[O-])C(=O)C[C@H]2O1,ClinTox,"{'[8*]C(F)(F)CCCC', '[13*][C@@]1(O)CC[C@@H]2[C@H]([15*])C(=O)C[C@H]2O1', '[8*]CCCCCCC(=O)[O-]'}"
66,NC1=NC(c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)(F)F)c2)c2ccccc21,BACE,"{'[14*]c1cc(C2(c3cccc([16*])c3)N=C(N)c3ccccc32)ccn1', '[8*]C(F)(F)F', '[16*]c1cncnc1'}"
67,CC1(C)Cc2ccc(-c3cncc(Cl)c3)cc2C2(COC(N)=N2)C1,BACE,"{'[16*]c1cncc(Cl)c1', '[16*]c1ccc2c(c1)C1(COC(N)=N1)CC(C)(C)C2'}"
68,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)CO)c2)CCCCC1,BACE,"{'[5*]N[5*]', '[16*]c1cccc([16*])c1', '[5*][NH2+][5*]', '[16*]c1cc(F)cc(F)c1', '[8*]C(C)(C)CO', '[1*]C(C)=O', '[4*]CC(O)C([4*])C[8*]', '[4*]C1([15*])CCCCC1'}"
69,CN(C)c1cccc2cc(S(=O)(=O)[O-])ccc12,ClinTox,"{'[5*]N(C)C', '[16*]c1cccc2cc(S(=O)(=O)[O-])ccc12'}"
70,CC#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,Lipo,"{'[9*]n1nc2c(c1[14*])c(=O)n([9*])c(=O)n2[9*]', '[14*]c1cncn1C', '[8*]CC#CC', '[8*]C[8*]', '[16*]c1ccnc2ccc(Cl)cc12', '[15*]C1CC1'}"
71,CC(C)NS(=O)(=O)CCN1C(=O)c2ccccc2C1=O,BBBP,"{'[4*]C(C)C', '[8*]CCS([12*])(=O)=O', '[5*]N[5*]', '[10*]N1C(=O)c2ccccc2C1=O'}"
72,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1cccc(Cl)c1,Lipo,"{'[5*]N1CCN([5*])[C@@H](C)C1', '[4*]C[8*]', '[3*]O[3*]', '[4*]CC(=O)O', '[16*]c1ccc(Cl)cc1[16*]', '[16*]c1cccc(Cl)c1', '[1*]C(=O)C[8*]'}"
73,C[N@@H+](Cc1cccc(CCc2cccnc2N)c1)Cc1ccco1,BACE,"{'[16*]c1cccc([16*])c1', '[4*]C[8*]', '[8*]CC[8*]', '[14*]c1ccco1', '[16*]c1cccnc1N', '[5*][NH+]([5*])C'}"
74,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,BBBP:Lipo,"{'[5*]N(C)C', '[8*]C(F)(F)F', '[5*]N1c2ccccc2Sc2ccc([16*])cc21', '[4*]CCC[4*]'}"
75,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4ccccn4)cc32)N=C1N,BACE,"{'[14*]c1ccccn1', '[16*]c1ccc2c(c1)C1(CC(C)(C)O2)N=C(N)N(C)C1=O'}"
76,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],ClinTox,"{'[5*]N([5*])[5*]', '[4*]CC[4*]', '[4*]CC(=O)[O-]', '[5*][NH+]([5*])[5*]'}"
77,Clc1ccccc1I,ESOL,{'Clc1ccccc1I'}
78,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N(C)C3CCCCC3)cnn2-c2ccccc2)cc1,Lipo,"{'[12*]S(=O)(=O)c1ccc(C)cc1', '[5*]N[5*]', '[5*]N([5*])C', '[9*]n1ncc([16*])c1[14*]', '[1*]C([6*])=O', '[15*]C1CCCCC1', '[16*]c1ccccc1'}"
79,CCOC(=O)c1ccccc1-c1csc(NS(=O)(=O)c2ccc(Cl)cc2)n1,Lipo,"{'[5*]N[5*]', '[16*]c1ccccc1[16*]', '[4*]CC', '[14*]c1csc([14*])n1', '[12*]S(=O)(=O)c1ccc(Cl)cc1', '[1*]C([6*])=O', '[3*]O[3*]'}"
80,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,FreeSolv,"{'[16*]c1cc(Cl)c(Cl)c(Cl)c1Cl', '[16*]c1ccc(Cl)c(Cl)c1Cl'}"
81,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,Lipo,"{'[16*]c1cccc([16*])c1', '[4*]C[8*]', '[4*]CCCS(C)(=O)=O', '[16*]c1cc(C)c([16*])c(C)c1', '[3*]O[3*]', '[16*]c1ccc2c(c1)OC[C@H]2CC(=O)O'}"
82,Cn1c(=O)n(Cc2ccc(C(=O)O)cc2)c(=O)c2cc(C#CCc3ccccc3)ccc21,Lipo,"{'[16*]c1ccc([16*])cc1', '[8*]C[8*]', '[8*]CC#Cc1ccc2c(c1)c(=O)n([9*])c(=O)n2C', '[16*]c1ccccc1', '[6*]C(=O)O'}"
83,Cn1c(N)nc(C2CC2c2ccc(-c3cccs3)cc2)cc1=O,BACE,"{'[14*]c1cc(=O)n(C)c(N)n1', '[15*]C1CC1[15*]', '[16*]c1ccc([16*])cc1', '[14*]c1cccs1'}"
84,C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ncc(OCc2ccncc2C#N)cn1,Lipo,"{'[14*]c1ncc([16*])cn1', '[5*]N1CCN([5*])[C@H](C)C1', '[4*]C[8*]', '[16*]c1ccncc1C#N', '[1*]C([1*])=O', '[4*]C(C)(C)C', '[3*]O[3*]'}"
85,O=c1cc[nH]nc1,BBBP,{'O=c1cc[nH]nc1'}
86,CCN(CC)CCC(=O)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21,BBBP,"{'[5*]N([5*])[5*]', '[4*]CC', '[1*]C(=O)CC[4*]', '[8*]C(F)(F)F', '[5*]N1c2ccccc2Sc2ccc([16*])cc21'}"
87,CCCc1c(C(=O)Nc2ccc(F)cc2C)cnn1-c1ccccc1,Lipo,"{'[5*]N[5*]', '[9*]n1ncc([16*])c1[14*]', '[8*]CCC', '[1*]C([6*])=O', '[16*]c1ccc(F)cc1C', '[16*]c1ccccc1'}"
88,COC(F)(F)C(F)Br,BBBP,"{'[4*]C(F)(F)C(F)Br', '[3*]OC'}"
89,C=C(C)C,ESOL:FreeSolv,{'C=C(C)C'}
90,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O.[Na],BBBP,"{'[5*]N[5*]', '[16*]c1ccccc1', '[13*]C1N2C(=O)C([15*])C2SC1(C)C', '[1*]C(=O)C[8*]', '[6*]C(=O)O'}"
91,COc1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)C2=CN(CC(=O)OC(C)C)C(C)=C(C(C)=O)[C@H]2C)c1,BACE,"{'[5*]N[5*]', '[16*]c1cccc([16*])c1', '[3*]OC', '[1*]C(=O)C[4*]', '[5*][NH2+][5*]', '[4*]C[8*]', '[3*]O[3*]', '[4*]C[C@@H](O)[C@@H]([4*])C[8*]', '[1*]C(=O)C1=CN([5*])C(C)=C(C(C)=O)[C@H]1C', '[4*]C(C)C', '[16*]c1ccccc1'}"
92,CCS(=O)(=O)c1ccc(F)cc1,BBBP,{'CCS(=O)(=O)c1ccc(F)cc1'}
93,CC(=O)Nc1c(Cl)cc(CNC(=[NH2+])NC(=O)Cn2ccc3cc(C#N)ccc32)cc1Cl,BACE,"{'[5*]N[5*]', '[16*]c1cc(Cl)c([16*])c(Cl)c1', '[4*]C[8*]', '[5*]NC(=[NH2+])N[5*]', '[9*]n1ccc2cc(C#N)ccc21', '[1*]C(C)=O', '[1*]C(=O)C[8*]'}"
94,N#Cc1ccc2[nH]cc(CCCC[NH+]3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,ClinTox,"{'[6*]C(N)=O', '[4*]CCCC[8*]', '[16*]c1c[nH]c2ccc(C#N)cc12', '[14*]c1cc2cc([16*])ccc2o1', '[5*]N1CC[NH+]([5*])CC1'}"
95,Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,BBBP,{'Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3'}
96,COc1cc2ncnc(Nc3cc(NC(=O)c4ccnc(N5CCOCC5)c4)ccc3C)c2cc1OCCN1CCCCC1,Lipo,"{'[5*]N[5*]', '[3*]OC', '[4*]CC[4*]', '[3*]O[3*]', '[14*]c1cc([16*])ccn1', '[5*]N1CCCCC1', '[14*]c1ncnc2cc([16*])c([16*])cc12', '[16*]c1ccc(C)c([16*])c1', '[5*]N1CCOCC1', '[1*]C([6*])=O'}"
97,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3ccccc3)CC2)CC1,Lipo,"{'[5*]N[5*]', '[15*][C@@H]1CCCC[C@H]1[15*]', '[4*]C1(C#N)CC1', '[16*]c1ccccc1', '[1*]C([6*])=O', '[5*]N1CCN([5*])CC1'}"
98,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,Lipo,"{'[5*]NC(=C[N+](=O)[O-])NC', '[4*]CC[4*]', '[11*]S[11*]', '[4*]C[8*]', '[5*]N(C)C', '[14*]c1ccc([14*])o1'}"
99,c1cc2c(cc1-c1cnc3n1CCC3)OCCO2,Lipo,"{'[14*]c1cnc2n1CCC2', '[16*]c1ccc2c(c1)OCCO2'}"
100,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,BBBP,"{'[8*]CC', '[4*]CC[4*]', '[3*]OC', '[13*][C@@H]1O[C@H](C)C[C@H]([15*])[C@H]1O', '[3*]OCO/N=C1/[C@H](C)C[C@@](C)(O)[C@H]([15*])[C@@H](C)[C@H]([15*])[C@@H](C)C(=O)O[C@H]([13*])[C@@](C)(O)[C@H](O)[C@H]1C', '[5*]N(C)C', '[13*][C@H]1C[C@]([15*])(C)[C@@H](O)[C@H](C)O1', '[3*]O[3*]', '[4*][C@]1(C)C[C@H]([13*])O[C@@H](C)[C@@H]1O'}"
